iter	Passed	Remaining
0	2	2277
1	3	1879
2	5	1718
3	6	1699
4	8	1627
5	9	1577
6	10	1544
7	12	1519
8	13	1501
9	15	1489
10	16	1480
11	17	1468
12	19	1456
13	20	1469
14	22	1468
15	23	1460
16	25	1453
17	26	1448
18	27	1440
19	29	1433
20	30	1428
21	32	1425
22	33	1433
23	35	1444
24	37	1444
25	38	1441
26	40	1445
27	41	1442
28	42	1438
29	44	1435
30	45	1432
31	47	1428
32	48	1424
33	50	1430
34	51	1426
35	53	1422
36	54	1419
37	55	1417
38	57	1414
39	58	1410
40	60	1406
41	61	1403
42	62	1400
43	64	1396
44	65	1399
45	67	1398
46	68	1395
47	70	1392
48	71	1389
49	72	1386
50	74	1384
51	75	1381
52	77	1378
53	78	1375
54	79	1372
55	81	1377
56	83	1375
57	84	1372
58	85	1370
59	87	1368
60	88	1365
61	90	1362
62	91	1359
63	92	1357
64	94	1356
65	95	1355
66	97	1354
67	98	1352
68	100	1350
69	101	1347
70	102	1345
71	107	1384
72	109	1384
73	110	1381
74	111	1379
75	113	1377
76	114	1374
77	116	1371
78	117	1368
79	118	1366
80	120	1364
81	121	1362
82	123	1362
83	124	1362
84	126	1360
85	127	1357
86	129	1355
87	130	1353
88	131	1350
89	133	1348
90	134	1345
91	136	1343
92	137	1341
93	139	1339
94	140	1337
95	141	1336
96	143	1333
97	146	1350
98	148	1348
99	149	1346
100	151	1344
101	152	1342
102	153	1341
103	155	1339
104	156	1336
105	158	1334
106	159	1331
107	160	1329
108	162	1327
109	163	1324
110	165	1322
111	166	1319
112	167	1317
113	169	1315
114	170	1313
115	171	1310
116	173	1308
117	174	1306
118	176	1304
119	177	1302
120	179	1302
121	180	1301
122	182	1298
123	183	1296
124	184	1294
125	186	1292
126	188	1297
127	190	1295
128	191	1293
129	193	1291
130	194	1289
131	195	1287
132	197	1285
133	198	1285
134	200	1283
135	202	1284
136	203	1283
137	205	1282
138	207	1283
139	211	1296
140	214	1305
141	217	1313
142	219	1315
143	221	1315
144	222	1313
145	224	1311
146	225	1311
147	227	1311
148	229	1309
149	230	1307
150	232	1305
151	233	1302
152	235	1300
153	236	1298
154	237	1296
155	239	1294
156	241	1297
157	243	1295
158	244	1293
159	245	1291
160	247	1288
161	248	1286
162	250	1284
163	251	1281
164	252	1279
165	254	1277
166	255	1274
167	257	1277
168	259	1275
169	260	1273
170	262	1270
171	263	1268
172	264	1266
173	266	1263
174	267	1262
175	269	1260
176	270	1257
177	272	1256
178	273	1255
179	275	1253
180	276	1251
181	277	1249
182	279	1246
183	280	1244
184	281	1242
185	283	1240
186	284	1238
187	286	1235
188	287	1234
189	289	1232
190	290	1230
191	291	1228
192	293	1226
193	294	1224
194	295	1221
195	297	1220
196	298	1218
197	300	1216
198	302	1217
199	304	1218
200	306	1219
201	308	1217
202	309	1215
203	311	1213
204	312	1212
205	314	1210
206	315	1208
207	316	1206
208	318	1204
209	319	1203
210	321	1202
211	323	1200
212	324	1198
213	325	1196
214	327	1194
215	328	1192
216	334	1207
217	336	1207
218	338	1205
219	339	1203
220	341	1202
221	342	1200
222	344	1199
223	345	1197
224	347	1198
225	349	1196
226	351	1196
227	353	1196
228	354	1195
229	356	1193
230	357	1190
231	359	1188
232	360	1186
233	362	1185
234	363	1183
235	364	1180
236	366	1178
237	367	1176
238	370	1179
239	372	1178
240	374	1178
241	375	1176
242	378	1180
243	380	1179
244	382	1178
245	383	1176
246	385	1175
247	387	1173
248	388	1171
249	389	1169
250	391	1167
251	392	1165
252	394	1163
253	395	1161
254	397	1160
255	398	1158
256	401	1159
257	402	1158
258	404	1156
259	405	1154
260	407	1154
261	409	1152
262	410	1151
263	412	1149
264	413	1147
265	415	1145
266	416	1144
267	418	1142
268	420	1141
269	421	1139
270	423	1137
271	424	1135
272	425	1134
273	427	1132
274	428	1130
275	430	1128
276	432	1128
277	434	1127
278	435	1125
279	436	1123
280	438	1121
281	439	1119
282	441	1117
283	442	1115
284	444	1113
285	445	1111
286	446	1110
287	448	1108
288	450	1107
289	451	1105
290	452	1103
291	454	1101
292	455	1100
293	457	1098
294	459	1098
295	460	1096
296	462	1094
297	464	1094
298	466	1092
299	467	1091
300	468	1089
301	470	1087
302	471	1085
303	473	1083
304	474	1081
305	476	1079
306	477	1078
307	479	1076
308	480	1074
309	482	1073
310	483	1071
311	484	1069
312	486	1067
313	487	1065
314	489	1063
315	490	1061
316	492	1060
317	493	1058
318	494	1056
319	497	1057
320	498	1055
321	500	1053
322	501	1051
323	503	1049
324	504	1047
325	505	1045
326	507	1044
327	509	1043
328	510	1042
329	512	1040
330	513	1038
331	515	1036
332	516	1034
333	518	1032
334	519	1030
335	520	1029
336	522	1028
337	524	1026
338	525	1024
339	527	1023
340	528	1021
341	529	1019
342	531	1017
343	532	1015
344	533	1013
345	535	1012
346	536	1010
347	538	1008
348	540	1007
349	541	1005
350	543	1004
351	544	1002
352	545	1000
353	547	998
354	548	996
355	549	994
356	551	993
357	553	992
358	554	990
359	556	988
360	557	987
361	564	995
362	566	993
363	567	992
364	569	990
365	570	988
366	572	987
367	573	985
368	575	983
369	576	982
370	578	980
371	579	978
372	581	977
373	582	975
374	584	973
375	585	971
376	586	969
377	588	967
378	589	966
379	591	964
380	592	963
381	594	961
382	595	959
383	597	957
384	599	957
385	601	956
386	602	954
387	603	952
388	605	950
389	606	949
390	608	947
391	609	945
392	611	945
393	613	944
394	615	942
395	618	942
396	620	942
397	622	941
398	623	939
399	625	937
400	626	935
401	627	934
402	629	932
403	630	930
404	632	928
405	633	926
406	634	924
407	636	923
408	638	922
409	639	920
410	641	918
411	642	917
412	643	915
413	645	913
414	646	911
415	648	909
416	649	908
417	651	906
418	652	904
419	653	902
420	655	901
421	657	900
422	658	898
423	659	896
424	661	894
425	662	892
426	664	891
427	665	889
428	666	887
429	668	885
430	670	884
431	671	883
432	672	881
433	674	879
434	675	877
435	677	875
436	678	874
437	679	872
438	681	870
439	682	868
440	684	867
441	685	865
442	687	863
443	688	862
444	690	860
445	691	858
446	692	857
447	694	855
448	695	853
449	696	851
450	698	849
451	699	848
452	701	846
453	702	845
454	704	843
455	705	841
456	706	839
457	708	838
458	709	836
459	710	834
460	712	832
461	713	831
462	715	829
463	716	827
464	717	826
465	719	824
466	720	822
467	722	820
468	723	819
469	724	817
470	726	815
471	727	813
472	729	812
473	730	810
474	731	808
475	733	807
476	734	805
477	736	803
478	737	802
479	738	800
480	740	798
481	741	797
482	743	795
483	744	793
484	745	792
485	747	790
486	748	788
487	750	787
488	751	785
489	752	783
490	754	781
491	755	780
492	757	778
493	759	777
494	761	776
495	762	775
496	764	773
497	766	772
498	767	770
499	769	769
500	770	767
501	772	765
502	773	764
503	774	762
504	776	760
505	777	759
506	778	757
507	780	755
508	781	754
509	783	752
510	784	751
511	786	749
512	787	747
513	794	750
514	795	749
515	797	747
516	798	746
517	800	744
518	801	742
519	803	741
520	804	739
521	806	738
522	807	736
523	808	734
524	810	733
525	811	731
526	813	729
527	814	728
528	816	726
529	817	725
530	819	723
531	820	721
532	821	720
533	823	718
534	824	716
535	825	714
536	827	713
537	828	711
538	830	710
539	832	708
540	833	707
541	834	705
542	836	703
543	837	702
544	839	700
545	840	699
546	842	697
547	843	695
548	844	694
549	846	692
550	848	691
551	849	689
552	850	687
553	852	686
554	853	684
555	855	682
556	856	681
557	857	679
558	859	677
559	860	676
560	862	674
561	863	672
562	865	671
563	866	670
564	868	668
565	869	666
566	870	665
567	872	663
568	873	661
569	875	660
570	876	658
571	878	657
572	879	655
573	880	653
574	882	652
575	883	650
576	885	648
577	886	647
578	888	645
579	889	644
580	890	642
581	892	640
582	893	639
583	895	637
584	896	636
585	898	634
586	899	632
587	900	631
588	902	629
589	903	628
590	905	626
591	906	624
592	907	623
593	909	621
594	910	619
595	912	618
596	913	616
597	914	615
598	916	613
599	917	611
600	919	610
601	920	608
602	922	607
603	923	605
604	924	603
605	926	602
606	927	600
607	929	599
608	930	597
609	932	595
610	933	594
611	934	592
612	936	590
613	937	589
614	938	587
615	940	586
616	941	584
617	943	582
618	944	581
619	945	579
620	947	578
621	948	576
622	950	574
623	951	573
624	952	571
625	954	570
626	955	568
627	957	567
628	958	565
629	959	563
630	961	562
631	962	560
632	964	558
633	965	557
634	966	555
635	968	554
636	969	552
637	971	550
638	972	549
639	973	547
640	975	546
641	977	545
642	978	543
643	984	544
644	985	542
645	987	540
646	988	539
647	990	537
648	991	536
649	993	534
650	994	533
651	995	531
652	997	529
653	998	528
654	1000	526
655	1001	525
656	1002	523
657	1004	522
658	1005	520
659	1007	518
660	1008	517
661	1010	515
662	1011	514
663	1013	512
664	1014	510
665	1015	509
666	1017	507
667	1018	506
668	1020	504
669	1021	503
670	1023	501
671	1024	500
672	1025	498
673	1027	496
674	1028	495
675	1030	493
676	1031	492
677	1033	490
678	1034	489
679	1035	487
680	1037	485
681	1038	484
682	1040	482
683	1041	481
684	1042	479
685	1044	477
686	1045	476
687	1047	474
688	1048	473
689	1049	471
690	1051	470
691	1052	468
692	1053	466
693	1055	465
694	1056	463
695	1058	462
696	1059	460
697	1061	459
698	1062	457
699	1063	455
700	1065	454
701	1066	452
702	1067	451
703	1069	449
704	1070	448
705	1072	446
706	1073	444
707	1075	443
708	1076	442
709	1078	440
710	1079	438
711	1081	437
712	1082	435
713	1083	434
714	1085	432
715	1086	431
716	1088	429
717	1089	428
718	1091	426
719	1092	424
720	1093	423
721	1095	421
722	1096	420
723	1098	418
724	1099	417
725	1100	415
726	1102	413
727	1103	412
728	1105	410
729	1106	409
730	1107	407
731	1109	406
732	1111	404
733	1112	403
734	1113	401
735	1115	400
736	1116	398
737	1118	396
738	1119	395
739	1121	393
740	1122	392
741	1123	390
742	1125	389
743	1126	387
744	1128	386
745	1129	384
746	1130	383
